AAA21117.VFG043885_gi_436833_.Bacillus_thuringiensis_subspecies_kumamotoensis_str._PS50C_a_ was removed because it failed filtering checks, so removing its metadata
APH_1118_.VFG045420_gi_3929996_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1121_.VFG045421_gi_3931325_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1122_.VFG045422_gi_3930842_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1123_.VFG045423_gi_3930310_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1128_.VFG045424_gi_3930212_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1152_.VFG045425_gi_3931315_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1154_.VFG045426_gi_3930183_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1163_.VFG045427_gi_3930305_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1177_.VFG045428_gi_3930115_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1184_.VFG045429_gi_3930032_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1185_.VFG045430_gi_3931012_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1186_.VFG045431_gi_3929959_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1194_.VFG045432_gi_3931316_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1202_.VFG045433_gi_3930509_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1203_.VFG045434_gi_3931242_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1226_.VFG045435_gi_3931175_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1230_.VFG045436_gi_3930942_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1241_.VFG045438_gi_3930819_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1242_.VFG045439_gi_3930231_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1248_.VFG045440_gi_3931186_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1253_.VFG045441_gi_3930920_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1255_.VFG045442_gi_3931111_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1261_.VFG045443_gi_3930893_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1272_.VFG045381_gi_3931150_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1274_.VFG045444_gi_3930590_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1284_.VFG045445_gi_3930969_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1312_.VFG045446_gi_3929961_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1313_.VFG045447_gi_3931238_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1324_.VFG045448_gi_3930280_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1328_.VFG045449_gi_3930008_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1329_.VFG045450_gi_3930775_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1330_.VFG045451_gi_3930153_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1342_.VFG045452_gi_3931075_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1343_.VFG045453_gi_3931180_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1350_.VFG045454_gi_3931201_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1351_.VFG045455_gi_3930269_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1352_.VFG045456_gi_3931169_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1389_.VFG045457_gi_3930712_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1390_.VFG045458_gi_3930459_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1391_.VFG045459_gi_3930176_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1399_.VFG045460_gi_3930587_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1400_.VFG045461_gi_3930627_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1401_.VFG045462_gi_3930272_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
APH_1408_.VFG045463_gi_3931239_.Anaplasma_phagocytophilum_HZ was removed because it failed filtering checks, so removing its metadata
BAV3039.VFG010981_gi_115424096_.Bordetella_avium_197N was removed because it failed filtering checks, so removing its metadata
CAA34983.VFG043868_gi_40259_.Bacillus_thuringiensis_str._tolworthi_43F was removed because it failed filtering checks, so removing its metadata
CBU_0012_.VFG039221_gi_1207874_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
CBU_0344_.VFG039297_gi_1208226_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
CBU_0375_.VFG039306_gi_1208257_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
CBU_1024_.VFG039415_gi_1208922_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
CBU_1107_.VFG039436_gi_1209009_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
CBU_1150_.VFG039441_gi_1209052_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
CBU_1525_.VFG039517_gi_1209435_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
CBU_2059_.VFG039686_gi_1209972_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
CLI_1670_.VFG019163_gi_5405545_.Clostridium_botulinum_F_str._Langeland was removed because it failed filtering checks, so removing its metadata
CbuG_0281_.VFG039217_gi_7012697_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_0383_.VFG039564_gi_7012799_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_0485_.VFG039512_gi_7012901_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_0983_.VFG039411_gi_7013399_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_1634_.VFG039303_gi_7014050_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_1637_.VFG039298_gi_7014053_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_1663_.VFG039293_gi_7014079_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_1677_.VFG039288_gi_7014093_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_1952_.VFG039232_gi_7014368_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_2038_.VFG039667_gi_7014454_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_2060_.VFG039677_gi_7014476_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuG_2063_.VFG039682_gi_7014479_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
CbuK_0326_.VFG039582_gi_7014840_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_0343_.VFG039569_gi_7014857_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_0492_.VFG039284_gi_7015005_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_0525_.VFG039289_gi_7015038_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_0563_.VFG039299_gi_7015076_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_0569_.VFG039304_gi_7015082_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_0815_.VFG039412_gi_7015328_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_0928_.VFG039422_gi_7015441_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_0977_.VFG039433_gi_7015490_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_1017_.VFG039438_gi_7015530_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_1621_.VFG039353_gi_7016134_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_1643_.VFG039323_gi_7016156_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_1752_.VFG039513_gi_7016265_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_2004_.VFG039233_gi_7016517_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_2080_.VFG039668_gi_7016593_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
CbuK_2105_.VFG039683_gi_7016618_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
HD1156.VFG042304_gi_33152270_.Haemophilus_ducreyi_35000HP was removed because it failed filtering checks, so removing its metadata
HD1505.VFG042306_gi_33152558_.Haemophilus_ducreyi_35000HP was removed because it failed filtering checks, so removing its metadata
JJD26997_1769_.VFG017755_gi_5389677_.Campylobacter_jejuni_subsp._doylei_269.97 was removed because it failed filtering checks, so removing its metadata
JJD26997_1771_.VFG017757_gi_5390559_.Campylobacter_jejuni_subsp._doylei_269.97 was removed because it failed filtering checks, so removing its metadata
MFE_00220.VFG043557_gi_308189606_.Mycoplasma_fermentans_JER was removed because it failed filtering checks, so removing its metadata
MGA_1142.VFG043553_gi_294660356_.Mycoplasma_gallisepticum_str._R_low_ was removed because it failed filtering checks, so removing its metadata
MPN372.VFG043671_gb_NP_110060_.Mycoplasma_pneumoniae_M129 was removed because it failed filtering checks, so removing its metadata
MSC_0972.VFG016529_gi_42561488_.Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1 was removed because it failed filtering checks, so removing its metadata
MSC_0979.VFG016536_gi_42561495_.Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1 was removed because it failed filtering checks, so removing its metadata
MYPE9110.VFG043653_gi_26554364_.Mycoplasma_penetrans_HF_2 was removed because it failed filtering checks, so removing its metadata
PPE4.VFG022089_gi_908422_.Mycobacterium_leprae_TN was removed because it failed filtering checks, so removing its metadata
PPE69.VFG021994_gi_4527502_.Mycobacterium_avium_104 was removed because it failed filtering checks, so removing its metadata
VFG000371 was removed because it failed filtering checks, so removing its metadata
VFG000683 was removed because it failed filtering checks, so removing its metadata
VFG000695 was removed because it failed filtering checks, so removing its metadata
VFG000707 was removed because it failed filtering checks, so removing its metadata
VFG002394 was removed because it failed filtering checks, so removing its metadata
VFG006101 was removed because it failed filtering checks, so removing its metadata
VFG006225 was removed because it failed filtering checks, so removing its metadata
VFG006226 was removed because it failed filtering checks, so removing its metadata
VFG006227 was removed because it failed filtering checks, so removing its metadata
VFG006228 was removed because it failed filtering checks, so removing its metadata
VFG006229 was removed because it failed filtering checks, so removing its metadata
VFG006230 was removed because it failed filtering checks, so removing its metadata
VFG006231 was removed because it failed filtering checks, so removing its metadata
VFG006233 was removed because it failed filtering checks, so removing its metadata
VFG006239 was removed because it failed filtering checks, so removing its metadata
VFG006263 was removed because it failed filtering checks, so removing its metadata
VFG006266 was removed because it failed filtering checks, so removing its metadata
VFG006463 was removed because it failed filtering checks, so removing its metadata
VFG006705 was removed because it failed filtering checks, so removing its metadata
VFG010940 was removed because it failed filtering checks, so removing its metadata
VFG012823 was removed because it failed filtering checks, so removing its metadata
VFG021772 was removed because it failed filtering checks, so removing its metadata
VFG040997 was removed because it failed filtering checks, so removing its metadata
VFG040998 was removed because it failed filtering checks, so removing its metadata
VFG041004 was removed because it failed filtering checks, so removing its metadata
VFG041434 was removed because it failed filtering checks, so removing its metadata
VFG042210 was removed because it failed filtering checks, so removing its metadata
VFG043897_gi_1334252_ was removed because it failed filtering checks, so removing its metadata
VFG045902 was removed because it failed filtering checks, so removing its metadata
VFG045978 was removed because it failed filtering checks, so removing its metadata
VFG046152 was removed because it failed filtering checks, so removing its metadata
VFG046169 was removed because it failed filtering checks, so removing its metadata
VFG046172 was removed because it failed filtering checks, so removing its metadata
VFG046188 was removed because it failed filtering checks, so removing its metadata
VFG046191 was removed because it failed filtering checks, so removing its metadata
VFG046595 was removed because it failed filtering checks, so removing its metadata
VFG048211 was removed because it failed filtering checks, so removing its metadata
VFG048213 was removed because it failed filtering checks, so removing its metadata
VFG048217 was removed because it failed filtering checks, so removing its metadata
YP0820_.VFG003131_gi_2764584_.Yersinia_pestis_biovar_Microtus_str._91001 was removed because it failed filtering checks, so removing its metadata
YpAngola_A1246_.VFG018934_gi_5799711_.Yersinia_pestis_Angola was removed because it failed filtering checks, so removing its metadata
YpAngola_A2898_.VFG018930_gi_5801370_.Yersinia_pestis_Angola was removed because it failed filtering checks, so removing its metadata
YpAngola_A3934_.VFG018836_gi_5802412_.Yersinia_pestis_Angola was removed because it failed filtering checks, so removing its metadata
YpAngola_A3943_.VFG018827_gi_5802421_.Yersinia_pestis_Angola was removed because it failed filtering checks, so removing its metadata
air_eaeX.VFG035937_gi_387609441_.Escherichia_coli_O44_H18_042 was removed because it failed filtering checks, so removing its metadata
air_eaeX.VFG035938_gi_218707301_.Escherichia_coli_O17_K52_H18_str._UMN026 was removed because it failed filtering checks, so removing its metadata
ankA.VFG039237_gi_7016495_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
ankB.VFG039259_gi_7014285_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
ankB.VFG039263_gi_1208015_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
ankM.VFG039607_gi_7014763_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
ankM.VFG039610_gi_1209668_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
aopX.VFG038356_gi_4999254_.Aeromonas_salmonicida_subsp._salmonicida_A449 was removed because it failed filtering checks, so removing its metadata
badA_vomp_brp.VFG018685_gi_163867448_.Bartonella_tribocorum_CIP_105476 was removed because it failed filtering checks, so removing its metadata
bap.VFG037636_gi_213157636_.Acinetobacter_baumannii_AB0057 was removed because it failed filtering checks, so removing its metadata
bap.VFG037640_gi_169794956_.Acinetobacter_baumannii_AYE was removed because it failed filtering checks, so removing its metadata
bapA.VFG043571_gi_1254212_.Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2 was removed because it failed filtering checks, so removing its metadata
bcfC.VFG004156_gi_1246535_.Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18 was removed because it failed filtering checks, so removing its metadata
bcfC.VFG004159_gi_3332428_.Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_str._SC_B67 was removed because it failed filtering checks, so removing its metadata
bcfC.VFG021291_gi_7552506_.Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain_RKS4594 was removed because it failed filtering checks, so removing its metadata
bcfF.VFG004173_gi_3177117_.Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150 was removed because it failed filtering checks, so removing its metadata
bepA.VFG016704_gi_2867375_.Bartonella_quintana_str._Toulouse was removed because it failed filtering checks, so removing its metadata
bplJ.VFG011140_gi_2665474_.Bordetella_pertussis_Tohama_I was removed because it failed filtering checks, so removing its metadata
brkA.VFG011130_gi_1664758_.Bordetella_parapertussis_12822 was removed because it failed filtering checks, so removing its metadata
brkA.VFG011131_gi_2662951_.Bordetella_bronchiseptica_RB50 was removed because it failed filtering checks, so removing its metadata
brpA.VFG042377_gi_52355212_.Bartonella_vinsonii_subsp._arupensis was removed because it failed filtering checks, so removing its metadata
bscD.VFG011016_gi_1664842_.Bordetella_parapertussis_12822 was removed because it failed filtering checks, so removing its metadata
btrS.VFG011073_gi_1665349_.Bordetella_parapertussis_12822 was removed because it failed filtering checks, so removing its metadata
caeB.VFG039519_gi_7016273_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
cagY.VFG019455_gi_6963375_.Helicobacter_pylori_G27 was removed because it failed filtering checks, so removing its metadata
cap5G.VFG018631_gi_5775691_.Staphylococcus_aureus_subsp._aureus_USA300_TCH1516 was removed because it failed filtering checks, so removing its metadata
cbpG.VFG005326_gi_4441439_.Streptococcus_pneumoniae_D39 was removed because it failed filtering checks, so removing its metadata
cbpG.VFG019067_gi_6028766_.Streptococcus_pneumoniae_Hungary19A_6 was removed because it failed filtering checks, so removing its metadata
cdtA.VFG012114_gi_4915973_.Clostridium_difficile_630 was removed because it failed filtering checks, so removing its metadata
cdtB.VFG012115_gi_4915974_.Clostridium_difficile_630 was removed because it failed filtering checks, so removing its metadata
cdtB.VFG043702_gi_9739082_.Helicobacter_canis was removed because it failed filtering checks, so removing its metadata
cdtB.VFG043703_gi_22094444_.Helicobacter_flexispira_str._KO214 was removed because it failed filtering checks, so removing its metadata
cdtB.VFG043713_gi_95118511_.Campylobacter_hyointestinalis_str._NADC_H_83_8495 was removed because it failed filtering checks, so removing its metadata
cetCb2.VFG039307_gi_7014035_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
cetCb5.VFG039587_gi_7014839_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
cetCb6.VFG039591_gi_7012522_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
cirA.VFG039230_gi_5794579_.Coxiella_burnetii_RSA_331 was removed because it failed filtering checks, so removing its metadata
clpD.VFG042534_gi_1246223_.Escherichia_coli was removed because it failed filtering checks, so removing its metadata
cnf.VFG002706_gi_1174290_.Yersinia_pestis_CO92 was removed because it failed filtering checks, so removing its metadata
cnf.VFG002707_gi_1147666_.Yersinia_pestis_KIM_10 was removed because it failed filtering checks, so removing its metadata
cnf.VFG002711_gi_2765179_.Yersinia_pestis_biovar_Microtus_str._91001 was removed because it failed filtering checks, so removing its metadata
cnf.VFG002713_gi_2953659_.Yersinia_pseudotuberculosis_IP_32953 was removed because it failed filtering checks, so removing its metadata
cnf.VFG018914_gi_5801690_.Yersinia_pestis_Angola was removed because it failed filtering checks, so removing its metadata
coxCC12.VFG039537_gi_7012859_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
coxCC12.VFG039538_gi_7016309_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
coxCC12.VFG039540_gi_5792688_.Coxiella_burnetii_RSA_331 was removed because it failed filtering checks, so removing its metadata
coxCC13.VFG039550_gi_7012830_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
coxCC13.VFG039551_gi_7016340_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
coxCC14.VFG039559_gi_7012802_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
coxCC14.VFG039560_gi_7016372_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
coxCC3.VFG039313_gi_7016170_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
coxCC7_cig44.VFG039497_gi_7012966_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
coxCC7_cig44.VFG039498_gi_7016202_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
coxCC8.VFG039502_gi_7012965_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
coxCC8.VFG039505_gi_5794408_.Coxiella_burnetii_RSA_331 was removed because it failed filtering checks, so removing its metadata
coxCC8.VFG039506_gi_1209369_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
coxDFB2.VFG039417_gi_7015306_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
coxDFB3.VFG039475_gi_7013024_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
coxDFB3.VFG039479_gi_1209312_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
coxH1.VFG039318_gi_7016164_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
coxH4_cig61.VFG039638_gi_7014633_.Coxiella_burnetii_CbuK_Q154 was removed because it failed filtering checks, so removing its metadata
coxK2.VFG039469_gi_1209285_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
coxU1.VFG039387_gi_7013601_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
coxU1.VFG039390_gi_5792942_.Coxiella_burnetii_RSA_331 was removed because it failed filtering checks, so removing its metadata
coxU1.VFG039392_gi_1208707_.Coxiella_burnetii_RSA_493 was removed because it failed filtering checks, so removing its metadata
coxU2.VFG039450_gi_7013211_.Coxiella_burnetii_CbuG_Q212 was removed because it failed filtering checks, so removing its metadata
cps.VFG016526_gi_42560668_.Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1 was removed because it failed filtering checks, so removing its metadata
cps.VFG016531_gi_42561490_.Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1 was removed because it failed filtering checks, so removing its metadata
cps.VFG016539_gi_42561498_.Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1 was removed because it failed filtering checks, so removing its metadata
cps.VFG016545_gi_42561504_.Mycoplasma_mycoides_subsp._mycoides_SC_str._PG1 was removed because it failed filtering checks, so removing its metadata
crmA.VFG016456_gi_31544385_.Mycoplasma_gallisepticum_str._R_low_ was removed because it failed filtering checks, so removing its metadata
cry.VFG043884_gi_237511651_.Bacillus_thuringiensis_str._LH_2 was removed because it failed filtering checks, so removing its metadata
cry12Aa.VFG044065_gi_142772_.Bacillus_thuringiensis_str._PS33F2 was removed because it failed filtering checks, so removing its metadata
cry40A.VFG043948_gi_16945772_.Bacillus_thuringiensis_serovar_aizawai_str._Bun1_14 was removed because it failed filtering checks, so removing its metadata
cry48Aa.VFG043962_gi_156711550_.Lysinibacillus_sphaericus_str._LP1G was removed because it failed filtering checks, so removing its metadata
