Col156_1_NC_009781 was removed because it failed filtering checks, so removing its metadata
pADAP_1_AF135182 was removed because it failed filtering checks, so removing its metadata
pEC4115_1_NC_011351 was removed because it failed filtering checks, so removing its metadata
pENTAS02_1_CP003028 was removed because it failed filtering checks, so removing its metadata
pIP31758_p153__1_CP000719 was removed because it failed filtering checks, so removing its metadata
pIP31758_p59__1_CP000718 was removed because it failed filtering checks, so removing its metadata
pIP32953_1_BX936400 was removed because it failed filtering checks, so removing its metadata
pJARS36_1_NC_015068 was removed because it failed filtering checks, so removing its metadata
pKPC_CAV1321_1_CP011611 was removed because it failed filtering checks, so removing its metadata
pSL483_1_CP001137 was removed because it failed filtering checks, so removing its metadata
pSM22_1_NC_015972 was removed because it failed filtering checks, so removing its metadata
pXuzhou21_1_CP001927 was removed because it failed filtering checks, so removing its metadata
pYE854_1_AM905950 was removed because it failed filtering checks, so removing its metadata
rep10_4_repL_pDLK1__GU562624 was removed because it failed filtering checks, so removing its metadata
rep11b_2_repA_Plasmid__AY063485 was removed because it failed filtering checks, so removing its metadata
rep14b_1_repA_pJS42__EU370688 was removed because it failed filtering checks, so removing its metadata
rep14b_3_rep_pRI1__EU327398 was removed because it failed filtering checks, so removing its metadata
rep20_10_repA_SAP057A__NC013334 was removed because it failed filtering checks, so removing its metadata
rep20_5_repA_pSK23__GQ900491 was removed because it failed filtering checks, so removing its metadata
rep21_14_rep_pKH21__EU350088 was removed because it failed filtering checks, so removing its metadata
rep21_4_repRC_pSK41__AF051917 was removed because it failed filtering checks, so removing its metadata
rep24a_1_rep_pWBG745__GQ900389 was removed because it failed filtering checks, so removing its metadata
rep33_2_rep_pK214__X92946 was removed because it failed filtering checks, so removing its metadata
rep5a_8_SUM0001_p18809P04__CP002146 was removed because it failed filtering checks, so removing its metadata
rep7a_18_rep_pS0385p2__AM990994 was removed because it failed filtering checks, so removing its metadata
rep7c_1_rep_MSSA476__BX571857 was removed because it failed filtering checks, so removing its metadata
repUS16_1_repF_pE194__M17811 was removed because it failed filtering checks, so removing its metadata
repUS18_1_rep_pKKS825__FN377602 was removed because it failed filtering checks, so removing its metadata
repUS55_1_repB_pSSU1__AB019522 was removed because it failed filtering checks, so removing its metadata
repUS66_1_ORF6_pDB2011__KC456362 was removed because it failed filtering checks, so removing its metadata
repUS67_1_LRI1898_pLRI01__CP006012 was removed because it failed filtering checks, so removing its metadata
